Rank,Player,Teams,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS2,TD3,FL,G,FPTS,FPTS/G,ROST
209,Leroy Watson IV (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1.00%
210,Justin Shorter (LV),LV,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1.90%
211,Cameron Latu (PHI),PHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
212,Nick Muse (PHI),PHI,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
213,Teagan Quitoriano (ATL),ATL,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
214,Nikola Kalinic (ATL),ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
215,Ko Kieft (TB),TB,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0.00%
216,Drake Dunsmore (TB),TB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
217,Dominique Curry (DET),DET,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
218,Jordan Matthews (FA),FA,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
219,Derek Fine (HOU),HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
220,J.P. Foschi (CIN),CIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
221,Joey Haynos (MIA),MIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
222,Darnell Dinkins (NO),NO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
223,Brad Cottam (KC),KC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
224,Marquez Branson (ATL),ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
225,James Dearth (NYJ),NYJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
226,Keith Zinger (ATL),ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
227,Justin Snow (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
228,Anthony Firkser (FA),FA,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
229,Robert Tonyan (KC),KC,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
230,Albert Okwuegbunam Jr. (IND),IND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
231,Stephen Carlson (CHI),CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
232,Andrew Beck (NYJ),NYJ,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
233,Irv Smith Jr. (HOU),HOU,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
234,Tyree Jackson (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
235,C.J. Uzomah (FA),FA,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0.00%
236,Zach Wood (NO),NO,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2.50%
237,Andrew DePaola (MIN),MIN,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
238,Patrick Scales (FA),FA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
239,Tyler Ott (WAS),WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
240,James Winchester (KC),KC,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
241,Mitch Van Vooren (SEA),SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00%
